"Contexte de 
résidence","Titre de propriété","","","","","","","","",""
"","Propriétaire avec titre","","Propriétaire sans 
titre","","Co propriétaire 
avec titre","","Co propriétaire 
sans titre","","Total",""
"","Effectif","%","Effectif","%","Effectif","%","Effectif","%","Effectif","%"
"Dakar","238 511","90,1","4 096","1,5","21 000","7,9","981","0,4","264 588","100,0"
"Ziguinchor","37 609","66,7","13 490","23,9","3 901","6,9","1 384","2,5","56 384","100,0"
"Diourbel","158 150","87,7","12 582","7,0","8 497","4,7","1 157",",6","180 386","100,0"
"Saint-Louis","85 392","73,2","23 578","20,2","6 138","5,3","1 576","1,4","116 684","100,0"
"Tambacounda","50 784","71,1","16 722","23,4","2 809","3,9","1 122","1,6","71 438","100,0"
"Kaolack","87 131","82,7","9 708","9,2","7 202","6,8","1 281","1,2","105 322","100,0"
"Thiès","171 581","82,0","20 925","10,0","13 670","6,5","3 077","1,5","209 254","100,0"
"Louga","79 103","71,3","25 099","22,6","4 939","4,5","1 764","1,6","110 905","100,0"
"Fatick","57 330","73,6","14 692","18,9","4 192","5,4","1 717","2,2","77 931","100,0"
"Kolda","53 966","72,9","16 368","22,1","2 398","3,2","1 249","1,7","73 981","100,0"
"Matam","41 210","65,7","17 915","28,6","2 302","3,7","1 252","2,0","62 679","100,0"
"Kaffrine","50 679","76,6","11 369","17,2","3 173","4,8","937","1,4","66 159","100,0"
"Kédougou","17 910","67,9","7 371","27,9","762","2,9","337","1,3","26 380","100,0"
"Sedhiou","27 802","65,6","11 432","27,0","2 077","4,9","1 048","2,5","42 359","100,0"
"Urbain","677 115","88,9","27 236","3,6","53 664","7,0","4 042","0,5","762 057","100,0"
"Rural","480 045","68,3","178 112","25,4","29 397","4,2","14 839","2,1","702 392","100,0"
"Sénégal","1 157 160","79,0","205 347","14,0","83 061","5,7","18 881","1,3","1 464 449","100,0"
