"Région/ 
Milieu de  
résidence","Mode d’acquisition","","","","","Total"
"","Auto 
construction","Promoteur 
immobilier","Coopérative 
d’habitat","Héritage","Autre",""
"Dakar","61,4","2,1","4,3","22,0","10,2","100,0"
"Ziguinchor","50,0","0,3","1,1","41,7","7,0","100,0"
"Diourbel","69,0","0,3","1,4","20,2","9,1","100,0"
"Saint-Louis","51,4","0,2","0,7","38,0","9,6","100,0"
"Tambacounda","58,2","0,2","1,5","30,9","9,2","100,0"
"Kaolack","70,0","0,3","0,9","22,9","5,8","100,0"
"Thiès","62,7","0,3","0,9","27,4","8,6","100,0"
"Louga","66,3","0,2","0,9","25,6","7,0","100,0"
"Fatick","64,6","0,2","1,1","28,9","5,2","100,0"
"Kolda","61,1","0,1","1,4","28,8","8,7","100,0"
"Matam","39,5","0,0","1,5","49,0","9,9","100,0"
"Kaffrine","68,3","0,2","1,4","22,0","8,1","100,0"
"Kédougou","69,2","0,6","2,0","19,3","8,9","100,0"
"Sédhiou","60,8","0,1","1,2","32,3","5,5","100,0"
"Urbain","63,8","1,0","2,1","22,7","10,3","100,0"
"Rural","59,5","0,1","1,2","32,6","6,5","100,0"
"Sénégal","61,8","0,6","1,7","27,5","8,5","100,0"
