"Région/ 
Milieu de 
résidence","Nature du mur et revêtement du bâtiment principal","","","","","","","","","Total"
"","Ciment","Ciment 
avec 
carreaux","Ciment et 
marbre","Ciment 
avec 
bois","Bois","Banco","Banco+ 
enduit 
ciment","Paille/Tige","Autre",""
"Dakar","74,9","24,3","0,2","0,2","0,2","0,0","0,0","0,0","0,2","100,0"
"Ziguinchor","93,5","3,9","0,4","0,2","0,0","1,0","0,2","0,1","0,6","100,0"
"Diourbel","80,0","10,5","0,4","0,8","0,9","0,3","0,2","4,5","2,6","100,0"
"Saint-Louis","75,1","8,4","0,7","0,6","3,9","3,6","0,7","5,4","1,6","100,0"
"Tambacounda","61,1","3,8","0,6","0,7","3,2","23,3","1,8","4,7","0,9","100,0"
"Kaolack","85,6","9,4","0,3","0,6","0,2","2,4","0,5","0,7","0,3","100,0"
"Thiès","86,5","11,0","0,3","0,2","0,2","0,1","0,0","1,0","0,6","100,0"
"Louga","73,4","7,7","0,3","0,9","4,2","0,6","0,2","11,3","1,2","100,0"
"Fatick","86,3","6,0","0,6","0,7","0,6","2,0","0,7","2,5","0,7","100,0"
"Kolda","69,8","3,4","0,7","0,8","2,5","14,6","0,8","5,4","1,9","100,0"
"Matam","67,5","4,4","1,9","0,7","4,9","7,3","1,5","9,3","2,4","100,0"
"Kaffrine","69,3","2,4","0,6","1,0","1,6","18,0","2,7","3,8","0,5","100,0"
"Kédougou","57,3","3,0","0,3","0,8","4,2","25,5","0,9","6,0","2,0","100,0"
"Sédhiou","91,7","2,6","0,3","0,4","0,2","3,8","0,2","0,3","0,5","100,0"
"Urbain","79,9","18,3","0,3","0,2","0,2","0,3","0,1","0,3","0,4","100,0"
"Rural","73,8","2,9","0,6","0,8","3,1","9,1","1,0","6,9","1,8","100,0"
"Sénégal","77,6","12,6","0,4","0,5","1,3","3,6","0,4","2,7","0,9","100,0"
