"Région/ 
Milieu de 
résidence","Nature du toit et revêtement du bâtiment principal","","","","","Total"
"","Autre","Béton","Tuile/ardoise","Zinc/Tôle","Chaume/ paille",""
"Dakar","0,2","83,2","12,8","3,2","0,6","100,0"
"Ziguinchor","2,8","14,9","5,4","76,4","0,5","100,0"
"Diourbel","1,8","32,7","5,0","55,5","5,0","100,0"
"Saint-Louis","11,1","34,8","13,7","32,0","8,4","100,0"
"Tambacounda","17,2","22,5","2,2","35,2","23,0","100,0"
"Kaolack","2,6","22,5","5,3","65,1","4,5","100,0"
"Thiès","0,5","47,0","8,5","42,2","1,7","100,0"
"Louga","6,5","24,8","4,5","49,4","14,8","100,0"
"Fatick","2,9","12,7","4,7","72,6","7,1","100,0"
"Kolda","11,8","13,6","3,1","51,6","19,7","100,0"
"Matam","15,5","33,0","3,6","33,4","14,5","100,0"
"Kaffrine","16,9","9,0","2,9","50,5","20,8","100,0"
"Kédougou","13,3","12,0","2,8","33,0","38,9","100,0"
"Sédhiou","8,6","6,5","3,0","79,4","2,5","100,0"
"Urbain","0,7","63,3","10,1","24,6","1,3","100,0"
"Rural","11,2","12,9","4,5","55,7","15,6","100,0"
"Sénégal","4,6","44,6","8,0","36,1","6,6","100,0"
