"Région/ 
Milieu de 
résidence","Nature du sol et revêtement du bâtiment principal","","","","","","","Total"
"","Carrelage","Ciment","Argile/ 
banco","Sable","Tapis","Moquette","Autre",""
"Dakar","75,2","15,4","0,1","0,3","6,1","2,9","0,1","100,0"
"Ziguinchor","31,0","51,6","10,9","0,7","5,0","0,6","0,1","100,0"
"Diourbel","49,2","34,2","0,3","7,9","7,6","0,8","0,1","100,0"
"Saint-Louis","36,9","35,0","6,2","11,3","8,9","1,5","0,2","100,0"
"Tambacounda","16,6","46,5","12,0","21,0","3,3","0,3","0,3","100,0"
"Kaolack","37,0","51,2","1,7","3,1","6,3","0,6","0,1","100,0"
"Thiès","56,5","33,0","0,2","1,8","7,6","0,9","0,1","100,0"
"Louga","33,9","36,3","1,2","15,7","11,7","0,8","0,3","100,0"
"Fatick","32,3","53,2","1,7","6,1","6,2","0,4","0,1","100,0"
"Kolda","19,3","52,2","8,1","17,5","2,3","0,4","0,2","100,0"
"Matam","20,0","46,0","12,9","17,9","2,4","0,4","0,4","100,0"
"Kaffrine","14,9","52,8","7,5","17,4","6,9","0,4","0,2","100,0"
"Kédougou","12,5","59,6","8,5","15,3","3,4","0,6","0,1","100,0"
"Sédhiou","27,6","50,5","16,3","2,5","2,5","0,4","0,2","100,0"
"Urbain","63,4","26,9","0,6","1,0","6,1","1,9","0,1","100,0"
"Rural","22,7","46,3","7,7","15,5","7,0","0,5","0,2","100,0"
"Sénégal","48,3","34,1","3,3","6,4","6,4","1,4","0,1","100,0"
