"Région/ 
Milieu de  
résidence","Principal mode d’éclairage","","","","","","","","","","","Total"
"","","Electricité  Solaire","Groupe 
électrogène","Gaz","Lampe à 
pétrole 
artisanale","Lampe 
tempête","Bougie","Bois","Lampe 
recharge
able","Lampe 
torche","Autre",""
"Dakar","98,7","0,2","0,0","0,1","0,0","0,0","0,3","0,0","0,1","0,4","0,2","100,0"
"Ziguinchor","74,8","14,8","0,0","0,1","0,1","0,7","1,7","0,2","4,1","3,0","0,6","100,0"
"Diourbel","79,7","6,3","0,0","0,1","0,1","0,7","0,9","0,4","1,2","10,3","0,3","100,0"
"Saint-Louis","62,5","6,4","0,0","0,0","0,1","0,7","0,5","3,0","1,0","21,5","4,2","100,0"
"Tambacounda","35,8","15,4","0,1","0,0","0,1","1,4","1,2","3,2","2,3","39,7","0,9","100,0"
"Kaolack","71,4","10,0","0,0","0,1","0,1","1,1","0,9","0,3","1,4","14,3","0,5","100,0"
"Thiès","87,6","6,1","0,0","0,1","0,0","0,3","0,7","0,1","0,8","3,6","0,7","100,0"
"Louga","54,5","13,3","0,1","0,1","0,1","0,8","0,7","3,5","1,4","24,1","1,4","100,0"
"Fatick","58,5","17,2","0,3","0,1","0,1","1,1","1,1","0,5","2,8","17,7","0,5","100,0"
"Kolda","36,3","21,7","0,0","0,0","0,0","1,1","2,0","1,8","2,7","33,7","0,5","100,0"
"Matam","49,1","5,0","0,0","0,0","0,1","1,0","0,5","6,7","1,9","34,8","0,9","100,0"
"Kaffrine","36,8","20,5","0,0","0,0","0,1","1,3","1,1","2,4","3,0","32,0","2,8","100,0"
"Kédougou","21,6","39,1","0,1","0,1","0,0","0,8","0,7","2,0","2,9","31,8","0,8","100,0"
"Sédhiou","44,6","31,8","0,1","0,1","0,1","1,8","3,3","0,7","4,1","12,9","0,4","100,0"
"Urbain","94,2","1,5","0,0","0,1","0,0","0,2","0,6","0,1","0,4","2,6","0,4","100,0"
"Rural","40,8","20,2","0,1","0,1","0,1","1,3","1,2","2,8","2,8","29,0","1,6","100,0"
"Sénégal","74,4","8,5","0,0","0,1","0,1","0,6","0,8","1,1","1,3","12,4","0,8","100,0"
