"Région/ 
Milieu de résidence","Principal combustible pour la cuisson","","","","","","Total"
"","Bois","Charbon","Gaz","Electricité","Bouse de vache","Autre",""
"Dakar","1,0","5,3","92,3","0,6","0,0","0,8","100,0"
"Ziguinchor","45,6","26,8","25,9","0,1","0,1","1,4","100,0"
"Diourbel","36,1","38,6","23,0","0,2","1,7","0,4","100,0"
"Saint-Louis","54,1","15,4","29,6","0,3","0,3","0,4","100,0"
"Tambacounda","76,2","19,4","3,6","0,2","0,1","0,6","100,0"
"Kaolack","51,9","20,2","23,7","0,1","3,5","0,6","100,0"
"Thiès","28,1","13,8","55,5","0,2","1,9","0,5","100,0"
"Louga","62,1","14,2","18,8","0,4","4,2","0,2","100,0"
"Fatick","63,6","11,0","20,4","0,1","4,2","0,6","100,0"
"Kolda","80,3","15,4","3,6","0,2","0,0","0,4","100,0"
"Matam","91,9","3,2","3,8","0,2","0,5","0,4","100,0"
"Kaffrine","83,6","11,7","3,6","0,2","0,6","0,3","100,0"
"Kédougou","76,8","17,0","4,6","0,4","0,0","1,1","100,0"
"Sédhiou","85,0","9,7","4,3","0,4","0,0","0,5","100,0"
"Urbain","12,2","18,4","68,0","0,4","0,1","0,8","100,0"
"Rural","82,8","7,3","6,6","0,2","2,8","0,2","100,0"
"Sénégal","38,4","14,3","45,2","0,3","1,1","0,6","100,0"
