"Région/ 
Milieu de 
résidence","D’où provient principalement l’eau que boivent les membres de votre ménage ?","","","","","","","","","","","","","Total"
"","Robinet dans 
logement","Robinet dans 
cour/ parcelle","Robinet du voisin","Robinet 
public/borne 
fontaine","Puits à pompe ou 
forage","Puits protégé","Puits non protégé","Source protégée","Source non 
protégée","Camion-citerne","Charrette avec 
petite 
citerne/tonneau","Eau de surface","Eau 
minérale/amélioré",""
"Louga","38,4","30,0","5,4","16,6","3,9","1,6","0,9","0,2","0,1","0,3","2,0","0,1","0,5","100,0"
"Fatick","35,5","25,8","4,7","3,1",",5","13,1","13,1","0,2","0,4","0,2","1,4","0,1","2,0","100,0"
"Kolda","12,4","5,9","4,0","2,5","2,9","20,8","49,5","0,3","1,2","0,0","0,0","0,3","0,2","100,0"
"Matam","29,5","33,4","6,3","8,8","4,3","5,8","10,4","0,1","0,4","0,0","0,7","0,3","0,1","100,0"
"Kaffrine","45,3","36,8","6,1","6,4","1,4","1,2","2,1","0,0","0,1","0,0","0,4","0,0","0,2","100,0"
"Kédougou","10,9","5,2","4,9","17,5","32,9","12,7","13,4","0,3","0,9","0,1","0,4","0,5","0,4","100,0"
"Sédhiou","15,0","11,1","2,4","2,1","2,0","16,3","49,6","0,3","0,9","0,0","0,1","0,0","0,3","100,0"
"Urbain","60,6","18,8","3,9","3,3","1,4","3,4","2,5","0,2","0,1","1,0","1,9","0,1","2,9","100,0"
"Rural","30,6","23,2","5,6","9,8","5,0","8,0","15,7","0,2","0,5","0,1","0,9","0,2","0,2","100,0"
"Sénégal","49,5","20,4","4,5","5,7","2,8","5,1","7,4","0,2","0,2","0,6","1,5","0,1","1,9","100,0"
