"Région/ 
Milieu de 
résidence","Mode d’approvisionnement en eau","","","","","","","","","","","","Total"
"","Robinet dans 
le logement","Robinet dans 
la 
cour/parcelle","Robinet du 
voisin","Robinet 
public/borne 
fontaine","Puits à pompe 
ou forage","Puits protégés","Puits non 
protégés","Vendeurs 
d'eau","Camion-
citerne","Eau de pluie","Source, cours 
d’eau","Autre",""
"DAKAR","77,5","14,6","2,3","2,4","1,4","0,7","0,1","0,7","0,0","0,0","0,0","0,1","100,0"
"ZIGUINCHOR","30,8","18,9","3,2","1,6","2,8","15,1","26,4","0,1","0,0","0,4","0,1","0,5","100,0"
"DIOURBEL","59,4","27,6","7,0","3,0","0,3","0,6","0,2","1,2","0,3","0,1","0,0","0,1","100,0"
"SAINT-LOUIS","44,3","22,6","6,6","11,7","4,7","3,0","3,2","0,8","0,4","0,3","1,7","0,7","100,0"
"TAMBACOUNDA","27,8","15,9","6,3","9,9","5,7","10,2","21,5","1,0","0,0","0,9","0,1","0,5","100,0"
"KAOLACK","50,2","35,3","4,8","5,3","0,3","1,8","1,6","0,3","0,1","0,2","0,0","0,1","100,0"
"THIES","55,1","23,9","4,0","5,4","1,8","4,8","2,8","1,9","0,1","0,2","0,0","0,1","100,0"
"LOUGA","41,2","31,5","5,3","16,3","2,8","1,0","0,7","0,5","0,0","0,1","0,2","0,3","100,0"
"FATICK","42,9","30,8","4,6","3,1","0,3","7,0","9,9","0,9","0,1","0,3","0,0","0,2","100,0"
"KOLDA","12,9","5,9","3,5","2,3","2,4","20,1","49,2","0,2","0,0","1,5","0,2","1,9","100,0"
"MATAM","30,5","33,2","6,0","8,5","4,0","5,7","10,3","0,5","0,1","0,5","0,4","0,3","100,0"
"KAFFRINE","46,9","36,7","5,9","5,9","0,9","1,0","1,7","0,6","0,0","0,2","0,1","0,2","100,0"
"KEDOUGOU","10,9","5,1","4,4","16,8","31,3","13,0","13,8","1,6","0,1","0,6","1,7","0,7","100,0"
"SEDHIOU","16,9","12,0","2,3","2,0","1,6","15,3","48,1","0,1","0,0","0,9","0,1","0,6","100,0"
"Urbain","65,2","19,9","3,5","2,9","1,2","3,1","2,6","1,0","0,1","0,1","0,0","0,2","100,0"
"Rural","33,3","24,4","5,4","9,4","4,3","6,3","14,7","0,6","0,1","0,5","0,5","0,4","100,0"
"Sénégal","53,4","21,6","4,2","5,3","2,4","4,3","7,1","0,8","0,1","0,3","0,2","0,3","100,0"
