"Région/ 
Milieu de 
résidence","Principal type d’aisance","","","","","","","","","Effectif","Total"
"","Chasse 
raccordée 
à l’égout","Chasse 
avec fosse","Latrine 
couverte","Latrine non 
couverte","Latrine 
ventilée 
améliorée","Edicule 
public","Dans la 
nature","Chez le 
voisin","Autre","",""
"Dakar","43,4","47,4","6,7","0,9","0,6","0,3","0,5","0,1","0,1","632 581","100,0"
"Ziguinchor","4,9","34,5","25,8","21,3","4,7","1,5","4,9","1,8","0,6","87 584","100,0"
"Diourbel","8,9","51,8","21,4","5,4","2,3","0,7","8,0","1,3","0,2","194 789","100,0"
"Saint-Louis","10,5","44,4","17,2","8,1","1,9","1,6","13,6","2,4","0,4","138 130","100,0"
"Tambacounda","4,0","23,8","23,9","23,5","1,7","1,5","19,2","2,0","0,4","86 294","100,0"
"Kaolack","7,5","47,1","21,3","8,8","1,9","1,1","7,9","4,0","0,4","123 141","100,0"
"Thiès","11,1","64,0","14,6","3,1","1,5","0,7","3,9","0,9","0,1","265 939","100,0"
"Louga","5,2","44,7","19,9","7,4","2,8","0,7","17,5","1,5","0,3","120 330","100,0"
"Fatick","3,4","55,8","16,6","5,8","1,9","0,8","11,8","3,7","0,3","87 978","100,0"
"Kolda","3,0","20,0","25,0","33,2","2,2","1,4","13,4","1,2","0,6","86 200","100,0"
"Matam","3,1","28,1","21,3","15,1","1,6","1,4","26,6","2,6","0,3","70 365","100,0"
"Kaffrine","1,4","29,4","24,0","15,9","1,7","1,4","18,6","6,9","0,5","71 844","100,0"
"Kédougou","4,3","18,7","20,6","20,3","1,5","0,8","29,5","4,1","0,2","31 378","100,0"
"Sédhiou","1,7","16,5","25,8","35,2","2,4","2,3","14,1","1,4","0,5","48 883","100,0"
"Urbain","28,7","50,8","12,7","3,7","1,3","0,5","1,8","0,5","0,1","1 291 581","100,0"
"Rural","-","34,5","21,8","16,6","2,2","1,5","19,5","3,5","0,4","753 855","100,0"
"Sénégal","18,1","44,8","16,0","8,5","1,7","0,8","8,3","1,6","0,3","2 045 436","100,0"
