"Région/ 
Milieu de résidence","Partage des toilettes avec d'autres ménages","","Total"
"","NON","OUI",""
"Dakar","60,3","39,7","100,0"
"Ziguinchor","65,9","34,1","100,0"
"Diourbel","83,5","16,5","100,0"
"Saint-Louis","69,5","30,5","100,0"
"Tambacounda","75,0","25,0","100,0"
"Kaolack","72,8","27,2","100,0"
"Thiès","77,1","22,9","100,0"
"Louga","79,0","21,0","100,0"
"Fatick","78,2","21,8","100,0"
"Kolda","85,4","14,6","100,0"
"Matam","71,9","28,1","100,0"
"Kaffrine","70,1","29,9","100,0"
"Kédougou","68,7","31,3","100,0"
"Sédhiou","76,8","23,2","100,0"
"Urbain","68,1","31,9","100,0"
"Rural","76,4","23,6","100,0"
"Sénégal","70,7","29,3","100,0"
