"Région/ 
Milieu de résidence","Mode d’évacuation des boues de vidange","","","Total"
"","Camion de vidange","Trou dans la rue","Autres",""
"Dakar","91,1","8,0","0,9","100,0"
"Ziguinchor","68,4","27,5","4,1","100,0"
"Diourbel","72,1","27,4","0,5","100,0"
"Saint-Louis","56,2","42,4","1,4","100,0"
"Tambacounda","47,1","49,6","3,3","100,0"
"Kaolack","63,2","35,5","1,3","100,0"
"Thiès","75,1","24,1","0,7","100,0"
"Louga","40,4","58,5","1,1","100,0"
"Fatick","51,1","47,0","1,9","100,0"
"Kolda","40,8","56,7","2,5","100,0"
"Matam","31,5","66,9","1,5","100,0"
"Kaffrine","43,0","55,5","1,5","100,0"
"Kédougou","42,7","55,3","2,0","100,0"
"Sédhiou","12,6","83,4","4,0","100,0"
"Urbain","86,9","12,3","0,8","100,0"
"Rural","25,7","71,9","2,3","100,0"
"Sénégal","69,5","29,2","1,3","100,0"
