"Région/ 
Milieu de 
résidence","Principal mode d’évacuation des ordures ménagères","","","","","","","Total"
"","Camion de 
ramassage","Calèche/ 
Charrette","Dépôt 
autorisé","Dépôt 
sauvage","Enfouisse
ment","Incinérati
on","Autre",""
"Dakar","86,6","7,2","4,2","1,4","0,1","0,4","0,1","100"
"Ziguinchor","31,9","1,6","4,7","24,4","4,1","32,3","1,1","100"
"Diourbel","25,0","28,7","5,0","34,4","2,3","4,3","0,3","100"
"Saint-Louis","21,7","20,3","7,9","41,6","1,4","6,3","0,8","100"
"Tambacounda","10,2","23,4","4,8","47,8","3,1","9,6","1,0","100"
"Kaolack","17,0","32,9","6,0","37,0","2,2","4,1","0,8","100"
"Thiès","28,6","38,2","2,8","24,3","1,4","4,2","0,4","100"
"Louga","16,5","29,5","2,8","46,0","1,3","3,3","0,6","100"
"Fatick","12,2","24,2","8,6","44,5","2,6","6,9","1,0","100"
"Kolda","16,9","7,8","4,0","50,0","4,0","16,0","1,2","100"
"Matam","6,9","22,3","7,2","53,1","2,4","6,8","1,2","100"
"Kaffrine","9,5","33,4","5,0","43,4","2,8","5,1","0,7","100"
"Kédougou","10,7","10,5","4,9","56,3","2,7","14,0","0,9","100"
"Sédhiou","5,8","6,1","5,7","59,5","4,4","17,8","0,6","100"
"Urbain","61,7","19,0","4,5","9,3","0,9","4,2","0,3","100"
"Rural","3,9","20,8","5,1","58,0","3,0","8,4","0,9","100"
"Sénégal","40,3","19,7","4,8","27,3","1,6","5,8","0,5","100"
