"Indicateurs 
Milieu de résidence 
Sénégal 
Urbain 
Rural","","",""
"","","",""
"Habitat","","",""
"Pourcentage  des  ménages  ayant  un  logement  de  type  «maison 
basse»","59,1","69,0","62,8"
"Pourcentage des ménages ayant au plus deux personnes par pièce 
dans leur logement","67,1","52,3","61,5"
"Pourcentage des ménages étant propriétaires de leur logement","55,0","88,4","67,4"
"Pourcentage des ménages en location-vente","0,5","0,1","0,4"
"Pourcentage des ménages locataires de leur logement","31,2","1,5","20,2"
"Pourcentage des ménages colocataires de leur logement","4,8","0,4","3,1"
"Pourcentage des ménages propriétaires avec titre","88,9","68,3","79,0"
"Pourcentage des ménages copropriétaires avec titre","7,0","4,2","5,7"
"Pourcentage des ménages en situation de promiscuité (plus de 3 
personnes par pièce)","14,4","21,7","17,1"
"Pourcentage des ménages dont le ciment est le matériel privilégié 
pour la construction du mur du bâtiment principal de leur logement","79,9","73,8","77,6"
"Pourcentage des ménages dont le béton est le matériel privilégié 
pour la construction du toit du bâtiment principal de leur logement","63,3","12,9","44,6"
"Pourcentage  des  ménages  dont 
le  carrelage  est 
le  matériel 
privilégié pour la construction du sol du bâtiment principal de leur 
logement","63,4","22,7","48,3"
"Pourcentage des ménages ayant utilisé l’électricité pour l’éclairage","94,2","40,8","74,4"
"Pourcentage des ménages ayant utilisé le solaire pour l’éclairage","1,5","20,2","8,5"
"Conditions de vie des ménages","","",""
"Pourcentage des ménages ayant utilisé le gaz pour la cuisson","68,0","6,6","45,2"
"Pourcentage des ménages ayant utilisé le charbon de bois comme 
source d’énergie pour la cuisson","18,4","7,3","14,3"
"Pourcentage  des  ménages  ayant  utilisé  le  bois  comme  source 
d’énergie pour la cuisson","12,2","82,8","38,4"
"Pourcentage  des  ménages  ayant  utilisé 
le  robinet  domestique 
(dans le logement ou cour ou parcelle) comme point d’eau","79,4","53,8","69,9"
"Pourcentage  des  ménages  ayant  utilisé 
le  robinet  domestique 
(dans  le  logement  ou  cour  ou  parcelle)  pour  s’approvisionner  en 
eau de boisson","85,1","57,7","75,0"
"Pourcentage  des  ménages  ayant  utilisé 
la 
fontaine  publique 
comme principale source d’approvisionnement en eau de boisson","3,3","9,8","5,7"
"Pourcentage des ménages ayant utilisé le puits à pompe ou forage 
comme principale source d’approvisionnement en eau de boisson","1,4","5,0","2,8"
"Pourcentage 
des 
ménages 
qui 
défèquent 
à 
l’air 
libre 
(Brousse/nature)","1,8","19,4","8,3"
"Pourcentage  des  ménages  ayant  utilisé 
la  chasse  avec 
fosse 
comme type d’aisance","50,8","34,5","44,8"
"Pourcentage des ménages qui partagent des toilettes avec d'autres 
ménages","31,9","23,6","29,3"
"Pourcentage  des  ménages  ayant  utilisé  la  nature  ou  rue  comme 
mode d’évacuation des eaux usées","25,9","68,5","41,6"
"Pourcentage des ménages parmi ceux ayant recours aux latrines 
ou aux lieux d’aisance avec fosse qui utilisent le camion de vidange 
comme mode d’évacuation des boues de vidange","75,0","15,2","52,6"
"Pourcentage des ménages ayant utilisé le  camion de ramassage 
comme mode d’évacuation des ordures ménagères","61,7","3,9","40,3"
