"Sexe du chef de ménage 
 Contexte de 
résidence 
Homme 
Pourcentage 
Femme 
Pourcentage 
Ensemble 
Pourcentage","","","","","",""
"","","","","","",""
"Milieu de résidence","","","","","",""
"Rural 
4 084 573 
50,3 
4 038 781 
49,7 
8 123 353 
100,0","","","","","",""
"Urbain 
4 689 913 
49,3 
4 820 326 
50,7 
9 510 239 
100,0","","","","","",""
"National 
8 774 486 
49,8 
8 859 106 
50,2 
17 633 593 
100,0","","","","","",""
"Région","","","","","",""
"Dakar","1 961 035","49,9","1 971 968","50,1","3 933 002","100,0"
"Ziguinchor","310 815","51,2","296 552","48,8","607 367","100,0"
"Diourbel","963 193","48,0","1 042 994","52,0","2 006 187","100,0"
"Saint-Louis","580 364","49,7","586 952","50,3","1 167 316","100,0"
"Tambacounda","489 287","50,5","480 124","49,5","969 411","100,0"
"Kaolack","639 871","49,4","654 940","50,6","1 294 810","100,0"
"Thiès","1 209 281","50,2","1 200 205","49,8","2 409 486","100,0"
"Louga","537 430","49,0","558 958","51,0","1 096 388","100,0"
"Fatick","440 899","49,5","450 146","50,5","891 045","100,0"
"Kolda","460 966","50,9","445 532","49,1","906 498","100,0"
"Matam","392 638","49,5","401 144","50,5","793 782","100,0"
"Kaffrine","393 719","49,7","399 212","50,3","792 930","100,0"
"Kédougou","129 031","53,5","111 926","46,5","240 957","100,0"
"Sédhiou","290 908","50,7","282 949","49,3","573 857","100,0"
"Total","8 799 436","49,8","8 883 603","50,2","17 683 038","100,0"
