"Types de ménages collectifs","Milieu de résidence","","","",""
"","Urbain","","Rural","","National"
"","Effectif","Pourcentage","Effectif","Pourcentage",""
"Caserne","215","3,0","231","3,2","446"
"Internat","1 044","14,4","547","7,6","1 591"
"Couvent/Monastère","22","0,3","19","0,3","41"
"Hôtel/Auberge/Motel/Résidence","61","0,8","78","1,1","139"
"Etablissement pénitentiaire","35","0,5","13","0,2","48"
"Structure d'encadrement des personnes handicapées","2","0,0","1","0,0","3"
"Hôpitaux/Centres de santé/Clinique","53","0,7","32","0,4","85"
"Daara Traditionnel","3 729","51,6","4 825","67,1","8 554"
"Daara moderne","400","5,5","497","6,9","897"
"Orphelinat","14","0,2","6","0,1","20"
"Chantier temporaire","66","0,9","36","0,5","102"
"Campements/Sites/Abris provisoires","21","0,3","12","0,2","33"
"Campements touristiques","4","0,1","24","0,3","28"
"Résidence diplomatique","15","0,2","14","0,2","29"
"Résidence d'étudiants","406","5,6","45","0,6","451"
"Autres à préciser","1 144","15,8","808","11,2","1 952"
"Total","7 231","50,1","7 188","49,9","14 419"
