"Type de ménage collectif","Milieu de résidence","","","","National"
"","Urbain","","Rural","",""
"","Effectif","Pourcentage","Effectif","Pourcentage",""
"Caserne","15 292","69,3","6 779","30,7","22 071"
"Internat","45 730","64,0","25 715","36,0","71 445"
"Couvent/Monastère","217","52,7","195","47,3","412"
"Hôtel/Auberge/Motel/Résidence","456","60,3","300","39,7","756"
"Etablissement pénitentiaire","9 264","94,4","546","5,6","9 810"
"Structure d'encadrement des 
personnes handicapées","44","42,3","60","57,7","104"
"Hôpitaux/Centres de santé/Clinique","653","82,3","140","17,7","793"
"Daara Traditionnel","114 383","42,6","154 337","57,4","268 720"
"Daara moderne","13 164","51,9","12 214","48,1","25 378"
"Orphelinat","416","78,6","113","21,4","529"
"Chantier temporaire","345","49,5","352","50,5","697"
"Campements/Sites/Abris provisoires","232","72,5","88","27,5","320"
"Campements touristiques","9","6,1","138","93,9","147"
"Résidence diplomatique","76","48,1","82","51,9","158"
"Résidence d'étudiants","9 931","65,9","5 125","34,1","15 056"
"Autres à préciser","6 719","44,6","8 358","55,4","15 077"
"Total","216 931","50,3","214 542","49,7","431 473"
