"Région","Milieu de résidence","",""
"","Urbain","Rural","Ensemble"
"Dakar","6,3","-","6,3"
"Ziguinchor","6,7","7,4","7,0"
"Diourbel","10,0","11,7","10,6"
"Saint-Louis","8,4","8,9","8,7"
"Tambacounda","8,8","12,6","11,3"
"Kaolack","8,7","12,4","10,7"
"Thiès","8,1","11,1","9,2"
"Louga","9,0","9,3","9,2"
"Fatick","8,4","10,9","10,2"
"Kolda","9,2","11,5","10,6"
"Matam","11,5","11,5","11,5"
"Kaffrine","9,6","11,5","11,1"
"Kédougou","7,4","8,3","8,0"
"Sédhiou","10,1","12,5","11,9"
"Total","7,6","10,8","8,8"
