"Sexe","Région","Types de ménage","","","","","Total"
"","","Ménage 
isolé","Ménage 
monoparental","Ménage 
nucléaire","Ménage 
élargi","Ménage 
composite",""
"Masculin","Dakar","15,3","1,5","28,6","42,8","11,8","432 422"
"","Ziguinchor","13,2","1,3","20,1","57,2","8,3","62 560"
"","Diourbel","3,8","1,0","14,6","75,3","5,3","144 437"
"","Saint-Louis","5,4","1,3","25,0","63,6","4,6","103 182"
"","Tambacounda","4,7","0,8","19,6","70,6","4,2","74 898"
"","Kaolack","4,3","0,7","15,5","75,3","4,2","97 804"
"","Thiès","7,7","1,0","20,6","64,6","6,1","199 256"
"","Louga","2,7","0,8","22,0","71,0","3,5","97 245"
"","Fatick","4,5","0,8","15,7","73,6","5,4","69 113"
"","Kolda","3,3","0,5","16,4","76,5","3,3","75 491"
"","Matam","3,2","1,1","18,7","72,9","4,2","53 582"
"","Kaffrine","2,2","0,4","15,4","79,5","2,5","65 543"
"","Kédougou","10,9","1,2","23,9","55,1","8,8","26 282"
"","Sédhiou","3,3","0,5","12,8","79,2","4,2","42 247"
"","Ensemble","8,1","1,1","21,4","62,6","6,8","1 544 064"
"Féminin","Dakar","8,3","16,8","9,8","53,1","11,9","200 159"
"","Ziguinchor","9,6","14,4","4,4","56,9","14,8","25 125"
"","Diourbel","3,9","11,8","3,6","66,4","14,3","50 352"
"","St-Louis","3,9","16,0","6,0","62,9","11,1","35 069"
"","Tambacounda","4,6","18,0","6,4","60,8","10,2","11 603"
"","Kaolack","3,7","13,2","4,8","65,8","12,5","25 337"
"","Thiès","5,0","15,9","6,6","62,7","9,8","66 683"
"","Louga","3,5","16,4","3,4","62,7","14,0","23 085"
"","Fatick","4,9","16,0","3,7","63,5","12,0","18 865"
"","Kolda","4,0","17,2","4,0","65,9","9,0","10 709"
"","Matam","2,6","11,5","3,3","69,8","12,9","16 783"
"","Kaffrine","4,5","14,4","3,8","63,7","13,6","6 301"
"","Kédougou","12,0","20,6","6,0","42,5","18,8","5 095"
"","Sédhiou","5,2","13,7","2,9","65,8","12,4","6 206"
"","Ensemble","6,2","15,6","6,8","59,3","12,1","501 372"
