"Groupes 
d'âges","Ménage isolé","Ménage 
monoparental","Ménage 
nucléaire","Ménage élargi","Ménage 
composite"
"15-19","38,6","0,4","4,6","5,4","51,0"
"20-24","25,7","0,3","13,5","19,0","41,5"
"25-29","21,8","0,5","20,0","31,3","26,4"
"30-34","17,5","0,7","24,7","42,6","14,5"
"35-39","12,6","0,8","25,8","52,1","8,7"
"40-44","8,1","1,0","25,8","59,6","5,5"
"45-49","6,0","1,1","25,4","63,5","3,9"
"50-54","4,5","1,3","24,5","66,8","2,9"
"55-59","4,1","1,3","21,8","70,2","2,6"
"60-64","3,3","1,4","17,9","75,0","2,4"
"64-69","3,0","1,3","14,3","79,1","2,2"
"70-74","2,6","1,2","11,1","82,8","2,3"
"75-79","2,4","1,2","9,0","85,0","2,4"
"80+","2,2","1,1","7,0","86,6","3,1"
