"Sexe","Etat  matrimonial","Type de ménage","","","","","Total"
"","","Ménage 
isolé","Ménage 
monoparental","Ménage 
nucléaire","Ménage 
élargi","Ménage 
composite",""
"Masculin","Monogame","5,7","1,0","29,6","59,5","4,2","1 003 308"
"","Polygame","1,9","0,5","8,3","87,8","1,5","405 623"
"","Célibataire","48,5","1,2","0,0","2,3","48,0","106 685"
"","Veuf","13,0","13,5","0,0","58,0","15,5","14 576"
"","Divorcé","37,8","12,1","0,0","23,5","26,6","12 404"
"","Union libre (concubinage)","33,1","4,8","0,0","19,3","42,8","517"
"","Séparé","34,8","12,1","0,0","30,9","22,2","952"
"","Total","8,1","1,1","21,4","62,6","6,8","1 544 064"
"Féminin","Monogame","4,0","16,9","13,8","56,8","8,4","164 074"
"","Polygame","3,1","14,8","7,9","64,6","9,7","146 582"
"","Célibataire","31,6","10,7","0,0","19,5","38,1","39 902"
"","Veuve","3,6","13,5","0,0","71,6","11,3","124 929"
"","Divorcée","11,2","30,3","0,0","45,4","13,0","23 559"
"","Union libre (concubinage)","7,2","18,7","0,0","55,7","18,4","819"
"","Séparée","7,1","25,4","0,0","55,5","12,0","1 507"
"","Total","6,2","15,6","6,8","59,3","12,1","501 372"
