"Entité","Dénomination","Responsables"
"Direction 
nationale","Directeur national","Abdou DIOUF 
Aboubacar Sédikh BEYE 
Allé Nar DIOP"
"Coordination 
technique","Directeur technique Comité technique de Conception et d’Exécution 
(CTCE)","Abdou DIOUF"
"","Coordonnateur Unité de Mise en Œuvre du RGPH-5","Jean Pierre Diamane BAHOUM"
"","Conseiller technique du CTCE","Papa Ibrahima Sylmang SENE"
"","Coordinateur du Comité de veille et d’Assurance qualité","Atoumane FALL"
"Section","Conception, Analyse et Projections démographiques (SCAPD)","Ndèye Lala TRAVARE"
"Cellules","Conception, Analyse, Evaluation et Imputation des données (CCEAI)","Fatimatou SY"
"","Projections démographiques (CPD)","Maguette SARR"
"Autres membres","Mademba SY; Aliou TINE; Aïda Ngom DIOP; Khady BA; Ahmed Bachir DIOUF; Cheikh FALL; Thierno Ibrahima 
BARRY; Dame SAVARE; Adama BA; Abdourahmani DIALLO; Soda MBODJ; Mbène LO; Abdoulaye Tafsir HANE; 
Ndèye Binta DIEME; Adjibou Oppa BARRY; Nalar K. Serge MANEL; Fatou DIOUF; Ngor KABE;",""
"Section","Cartographie Censitaire Opérations de terrain (SCCOT) 
Papa Mabeye DIOP",""
"Cellules","Cartographie de terrain 
Djiby DIOP",""
"","Cartographie de bureau 
Abdoulaye SARR",""
"","Collecte de données 
Mame Cheikh DIOUF",""
