"","MBAYE; Dame Ndoumbe DIOP; Demba CISSOKHO; Djiby  DIALLO; Abdou Aziz DIENG; Maodo  TOURE; Soulèye",""
"","","DIENG; Cheikh NDIAYE; El Hadji Samba FALL; Omar Hamadi DIA; Ibra MBOUP; Sidy DOUMBOUYA; Cheikh Amala"
"","CISSOKHO; Papa  DIOUF; Alioune  BOIRO; Ibrahima  CISSE; Djimé  SIDIBE; Manga  NDIAYE; Aminata ANNE",""
"Section","Diffusion, Documentation et Archivage (SDDA)","El Hadji Malick GUEYE"
"","Impression et diffusion","Alain François DIATTA"
"Cellules","",""
"","Archivage","Ngoné GUEYE"
"","Saliou FAYE; Fodé DIEDHIOU; Amadou SALL; Mintou YADE; Aida FAYE; Abdou Karim SEYE; Oumou Kalsoum",""
"","","DIOP; Ndéné FALL; Serigne Fallou NIANG; Saliou FAYE; Fodé DIEDHIOU; Amadou SALL; Mintou YADE; Aida FAYE;"
"Autres membres","",""
"","Abdou Karim SEYE; Oumou Kalsoum DIOP; Ndéné FALL; Serigne Fallou NIANG; Jonas MANGA; Laure Alice Valerie",""
"","BADJI; Adama DIOUF; Abdou GNING",""
"Section","Contrôle de gestion","Moussa NDOYE"
"Membres","Cheikh GAYE ; Cheikh Abdou Khadr SOW",""
"Section","Marché","Fatou DIOUF"
"Autres membres","Fatoumata BARRY ; El Hadj Alassane DIOP",""
"Section","Audit interne","El Hadji Amara DOUMBOUYA"
"Autres membres  Mouhamadou Lamine FAYE","",""
"Section","Régie d’avance","Seydou DIENG"
"Section","Coordination des Activités régionales (SCAR)","Jean Rodrigue MALOU"
"","Cellule régionale de Dakar","Khoudia WADE"
"","Cellule régionale de Thiès","Ousmane DIOUF"
"","Cellule régionale de Fatick","Fatou Bintou KEBE"
"","Cellule régionale de Kaolack","Ndiassé WADE"
"","Cellule régionale de Kaffrine","Muhamed NDIAYE"
"","Cellule régionale de Louga","Amy Colé CISSE"
"","Cellule régionale de Diourbel","Sérigne THIAM"
"Cellules","",""
"","Cellule régionale de Saint-Louis","Saliou MBENGUE"
"","Cellule régionale de Matam","Moustapha TALL"
"","Cellule régionale de Tambacounda","Hadime SANE"
"","Cellule régionale de Kédougou","Mor LO"
"","Cellule régionale de Kolda","Alioune TAMBOURA"
"","Cellule régionale de Sédhiou","Ibrahima TALL"
"","Cellule régionale de Ziguinchor","Tidiane KAMARA"
"","COORDONNATEURS TECHNIQUES REGIONAUX ET DEPARTEMENTAUX (CTR/CTD)",""
