"I.5.  Recrutement et Formation",""
"L’opération  de  dénombrement  intègre  la  collecte  des  données  proprement  dite,  mais",""
"aussi  ses  activités  préparatoires  comme  le  recrutement  et  la  formation  du  personnel",""
"d’encadrement et des agents de terrain.",""
"I.5.1.","Le recrutement des agents de terrain"
"Le  processus  de  recrutement  du  personnel  de  terrain  a  été  totalement  décentralisé",""
"au  niveau  départemental,  afin  de  prévenir  d’éventuelles  barrières  linguistiques  et  les",""
"problèmes d’intendance. Un appel à candidature pour le poste d’agent recenseur a été",""
"lancé dans le courant du dernier trimestre de l’année 2022, à la suite de la définition des",""
"critères et conditions de participation par l’ANSD.",""
"A  la  suite  des  travaux  des  commissions  de  recrutements  présidées  par  les  Préfets  de",""
"département 32 340 candidats ont été retenus sur un effectif de 62 527 postulants.",""
"En plus des agents recenseurs, 965 superviseurs dont 687 désignés par arrêté préfectoral",""
"et 278 recrutés par l’ANSD, parmi les meilleurs agents cartographes ayant participé aux",""
"travaux  cartographiques,  ainsi  que  55  Coordonnateurs  administratifs  départementaux",""
"(CAD) désignés par arrêté préfectoral, ont été mobilisés.",""
