"Tableau 5 : Répartition des types de ménage par région","","",""
"","Nombre de ménages","Nombre de ménages","Taille moyenne"
"Région","","",""
"","collectifs","ordinaires","ménages ordinaires"
"Dakar","2 443","605 424","6"
"Diourbel","2 349","187 228","11"
"Fatick","467","87 287","10"
"Kaffrine","803","71 328","12"
"Kaolack","1 157","120 523","11"
"Kédougou","178","30 386","8"
"Kolda","336","858 88","11"
"Louga","859","118 841","9"
"Matam","1 595","69 019","12"
"Saint-Louis","1 298","134 591","9"
"Sédhiou","257","48 377","12"
"Tambacounda","686","85 817","12"
"Thiès","1 716","260 519","9"
"Ziguinchor","262","85 784","7"
"ENSEMBLE","14 408","1 991 012","9"
