"LISTE DES ABRÉVIATIONS",""
"ANSD","Agence nationale de la Statistique et de la Démographie"
"ATIC","Assistants en Technologie de l’Information et de la Communication"
"CAD","Coordonnateurs administratifs départementaux"
"CDD","Comités départementaux de Développement"
"CEA","Commission économique des Nations unies pour l’Afrique"
"CIPD","Conférence internationale sur la Population et le Développement"
"CNP","Comité national de pilotage"
"CTCE","Comité technique de Conception et d’Exécution"
"CTD","Coordonnateurs techniques départementaux"
"CTN","Comité technique national"
"CTR","Coordonnateurs techniques régionaux"
"CVAQ","Comité de Veille et d’Assurance Qualité"
"DR","Districts de Recensement"
"EPC","Enquête Post Censitaire"
"FNUAP","Fonds des Nations Unies pour la Population"
"INECV","Institut national de Statistique du Cap Vert"
"MEPC","Ministère de l’Economie, du Plan et de la Coopération"
"ODD","Objectifs de Développement durable"
"PCP","Populations comptées à part"
"PIGOR","Plateforme Intégrée de Gestion des Opérations de Dénombrement"
"PSE","Plan Sénégal émergent"
"RGPH-5","Cinquième Recensement général de la Population et de l’Habitat"
"SNDS","Stratégie nationale de développement de la Statistique"
"SSN","Système statistique national"
"UMO","Unité de Mise en Œuvre"
"UNICEF","Fonds des Nations Unies pour l’Enfance"
"USAID","Agence américaine pour le Développement international"
